id,username,email,firstName,gender,lastName,profession,rating,lower_bound,question_count,upper_bound,session_confidence,cSum,c_level_avg,score
1,shivam,shivamxav@gmail.com,Shivam,M,Gupta,Student,500,389,3,594,0,0,0,0
2,"Mary
","Mary
@gmail.com","Mary
",M,Smith,Engineer,500,0,0,0,0,0,0,0
3,"Anna
","Anna
@gmail.com","Anna
",M,Smith,Engineer,500,0,0,0,0,0,0,0
4,"Emma
","Emma
@gmail.com","Emma
",M,Smith,Engineer,500,0,0,0,0,0,0,0
5,"Elizabeth
","Elizabeth
@gmail.com","Elizabeth
",M,Smith,Engineer,500,0,0,0,0,0,0,0
6,"Minnie
","Minnie
@gmail.com","Minnie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
7,"Margaret
","Margaret
@gmail.com","Margaret
",M,Smith,Engineer,500,0,0,0,0,0,0,0
8,"Ida
","Ida
@gmail.com","Ida
",M,Smith,Engineer,500,0,0,0,0,0,0,0
9,"Alice
","Alice
@gmail.com","Alice
",M,Smith,Engineer,500,0,0,0,0,0,0,0
10,"Bertha
","Bertha
@gmail.com","Bertha
",M,Smith,Engineer,500,0,0,0,0,0,0,0
11,"Sarah
","Sarah
@gmail.com","Sarah
",M,Smith,Engineer,500,0,0,0,0,0,0,0
12,"Annie
","Annie
@gmail.com","Annie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
13,"Clara
","Clara
@gmail.com","Clara
",M,Smith,Engineer,500,0,0,0,0,0,0,0
14,"Ella
","Ella
@gmail.com","Ella
",M,Smith,Engineer,500,0,0,0,0,0,0,0
15,"Florence
","Florence
@gmail.com","Florence
",M,Smith,Engineer,500,0,0,0,0,0,0,0
16,"Cora
","Cora
@gmail.com","Cora
",M,Smith,Engineer,500,0,0,0,0,0,0,0
17,"Martha
","Martha
@gmail.com","Martha
",M,Smith,Engineer,500,0,0,0,0,0,0,0
18,"Laura
","Laura
@gmail.com","Laura
",M,Smith,Engineer,500,0,0,0,0,0,0,0
19,"Nellie
","Nellie
@gmail.com","Nellie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
20,"Grace
","Grace
@gmail.com","Grace
",M,Smith,Engineer,500,0,0,0,0,0,0,0
21,"Carrie
","Carrie
@gmail.com","Carrie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
22,"Maude
","Maude
@gmail.com","Maude
",M,Smith,Engineer,500,0,0,0,0,0,0,0
23,"Mabel
","Mabel
@gmail.com","Mabel
",M,Smith,Engineer,500,0,0,0,0,0,0,0
24,"Bessie
","Bessie
@gmail.com","Bessie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
25,"Jennie
","Jennie
@gmail.com","Jennie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
26,"Gertrude
","Gertrude
@gmail.com","Gertrude
",M,Smith,Engineer,500,0,0,0,0,0,0,0
27,"Julia
","Julia
@gmail.com","Julia
",M,Smith,Engineer,500,0,0,0,0,0,0,0
28,"Hattie
","Hattie
@gmail.com","Hattie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
29,"Edith
","Edith
@gmail.com","Edith
",M,Smith,Engineer,500,0,0,0,0,0,0,0
30,"Mattie
","Mattie
@gmail.com","Mattie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
31,"Rose
","Rose
@gmail.com","Rose
",M,Smith,Engineer,500,0,0,0,0,0,0,0
32,"Catherine
","Catherine
@gmail.com","Catherine
",M,Smith,Engineer,500,0,0,0,0,0,0,0
33,"Lillian
","Lillian
@gmail.com","Lillian
",M,Smith,Engineer,500,0,0,0,0,0,0,0
34,"Ada
","Ada
@gmail.com","Ada
",M,Smith,Engineer,500,0,0,0,0,0,0,0
35,"Lillie
","Lillie
@gmail.com","Lillie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
36,"Helen
","Helen
@gmail.com","Helen
",M,Smith,Engineer,500,0,0,0,0,0,0,0
37,"Jessie
","Jessie
@gmail.com","Jessie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
38,"Louise
","Louise
@gmail.com","Louise
",M,Smith,Engineer,500,0,0,0,0,0,0,0
39,"Ethel
","Ethel
@gmail.com","Ethel
",M,Smith,Engineer,500,0,0,0,0,0,0,0
40,"Lula
","Lula
@gmail.com","Lula
",M,Smith,Engineer,500,0,0,0,0,0,0,0
41,"Myrtle
","Myrtle
@gmail.com","Myrtle
",M,Smith,Engineer,500,0,0,0,0,0,0,0
42,"Eva
","Eva
@gmail.com","Eva
",M,Smith,Engineer,500,0,0,0,0,0,0,0
43,"Frances
","Frances
@gmail.com","Frances
",M,Smith,Engineer,500,0,0,0,0,0,0,0
44,"Lena
","Lena
@gmail.com","Lena
",M,Smith,Engineer,500,0,0,0,0,0,0,0
45,"Lucy
","Lucy
@gmail.com","Lucy
",M,Smith,Engineer,500,0,0,0,0,0,0,0
46,"Edna
","Edna
@gmail.com","Edna
",M,Smith,Engineer,500,0,0,0,0,0,0,0
47,"Maggie
","Maggie
@gmail.com","Maggie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
48,"Pearl
","Pearl
@gmail.com","Pearl
",M,Smith,Engineer,500,0,0,0,0,0,0,0
49,"Daisy
","Daisy
@gmail.com","Daisy
",M,Smith,Engineer,500,0,0,0,0,0,0,0
50,"Fannie
","Fannie
@gmail.com","Fannie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
51,"Josephine
","Josephine
@gmail.com","Josephine
",M,Smith,Engineer,500,0,0,0,0,0,0,0
52,"Dora
","Dora
@gmail.com","Dora
",M,Smith,Engineer,500,0,0,0,0,0,0,0
53,"Rosa
","Rosa
@gmail.com","Rosa
",M,Smith,Engineer,500,0,0,0,0,0,0,0
54,"Katherine
","Katherine
@gmail.com","Katherine
",M,Smith,Engineer,500,0,0,0,0,0,0,0
55,"Agnes
","Agnes
@gmail.com","Agnes
",M,Smith,Engineer,500,0,0,0,0,0,0,0
56,"Marie
","Marie
@gmail.com","Marie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
57,"Nora
","Nora
@gmail.com","Nora
",M,Smith,Engineer,500,0,0,0,0,0,0,0
58,"May
","May
@gmail.com","May
",M,Smith,Engineer,500,0,0,0,0,0,0,0
59,"Mamie
","Mamie
@gmail.com","Mamie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
60,"Blanche
","Blanche
@gmail.com","Blanche
",M,Smith,Engineer,500,0,0,0,0,0,0,0
61,"Stella
","Stella
@gmail.com","Stella
",M,Smith,Engineer,500,0,0,0,0,0,0,0
62,"Ellen
","Ellen
@gmail.com","Ellen
",M,Smith,Engineer,500,0,0,0,0,0,0,0
63,"Nancy
","Nancy
@gmail.com","Nancy
",M,Smith,Engineer,500,0,0,0,0,0,0,0
64,"Effie
","Effie
@gmail.com","Effie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
65,"Sallie
","Sallie
@gmail.com","Sallie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
66,"Nettie
","Nettie
@gmail.com","Nettie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
67,"Della
","Della
@gmail.com","Della
",M,Smith,Engineer,500,0,0,0,0,0,0,0
68,"Lizzie
","Lizzie
@gmail.com","Lizzie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
69,"Flora
","Flora
@gmail.com","Flora
",M,Smith,Engineer,500,0,0,0,0,0,0,0
70,"Susie
","Susie
@gmail.com","Susie
",M,Smith,Engineer,500,0,0,0,0,0,0,0
71,"Maud
","Maud
@gmail.com","Maud
",M,Smith,Engineer,500,0,0,0,0,0,0,0
